# Lines starting with '#''' are comments. Comment lines must form a continuous        
# block at the beginning of this file.             
# The last comment line is not really a comment. It must contain the names of     
# the variables that are used in the code.            
# The data has to start in the following line.           
#                    
# List of variables:                 
# TS: timestep                  
# OHair1: OH-readical conc. based factor to multiply with avg. degradation rate in upper air      
# OHair2: OH-readical conc. based factor to multiply with avg. degradation rate in lower air      
# Based on data from:                
# Spivakovsky  C. M.  Logan J. A.  Montzka S. A.  Balkanski Y. J.  Foreman-Fowler M. 
# Jones D. B. A.  Horowitz L.W.  Fusco A. C.  Brenninkmeijer C. A. M.  Prather M. J.
# Wofsy S. C.  McElroy M. B.  2000  Three-dimensional climatological distribution of      
# tropospheric OH: Update and evaluation. Journal of geophysical research  Vol. 105        
# No. D7  pp 8931-8980.               
#                    
# precip: monthly average precipitation [m/h]               
# stwet: average length of rain events [h]             
# stdry: average length of dry spells [h]             
# tair1: temperature upper air [K]               
# tair2: temperature lower air [K]               
# tocean: temperature ocean surface [K]               
# tland: temperature land surface [K]               
# h1: Average upper air compartment height [m]             
# h2: Average lower air compartment height [m]             
# h5: Average ocean compartment depth [m]              
# runoffwater: water runoff                 
# tspe: time since plowing event [month]              
# perc8: percentage of ocean covered by Sea Ice [-]           
#                    
#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 tocean tland h1 h2 h5 mixing12 mixing21 runoff6water tspe perc8  
243 10 0.3917591127 0.2985348513 0.0604563984 12.5901690051 91.8103656683 243.3575614929 264.4295669556 271.4792449951 251.0442840576 5110.7324462891 1149.0332641602 154.7981018066 2 6.022043275 0 4380 0.6479917183  
243 11 0.6240734235 0.4831594349 0.0743029167 12.418466998 103.600139381 245.510043335 267.3570541382 271.8480667114 256.9446624756 5166.3274902344 1161.7596801758 129.3493534088 2 5.699501675 0 5110 0.410423171  
243 12 0.7399974081 0.3140922143 0.0676389617 11.8914406981 107.4231264203 247.9632385254 269.722328186 273.209765625 260.9872573853 5222.4595458984 1172.2796875 102.6331035614 2 4.587691859 0 5840 0.1613023722  
244 1 0.6282110332 0.1889098908 0.0434019447 9.8559864443 247.4649824669 249.6505508423 271.0474960327 274.909085083 259.6330131531 5262.7788818359 1178.2303710938 64.5220212936 2 5.163603327 0 6570 0.0426815341  
244 2 0.4284590341 0.1124879345 0.053326819 10.7679996536 149.2717895398 248.9798797607 271.1604064941 275.492199707 256.7259048462 5250.7538574219 1178.6703857422 60.3902462006 2 6.360219571 0 7300 0.0143029987  
244 3 0.213327332 0.0553517369 0.0626175058 11.5667091309 120.6982075465 247.0985107422 270.1523300171 274.9889816284 252.6028038025 5211.3010742188 1174.2186401367 75.0498771667 2 7.586565467 0 8030 0.0113710288  
244 4 0.0688128748 0.0156513877 0.0749210377 11.2623029017 95.0729491584 245.6189590454 269.1707717896 274.0132034302 250.9412895203 5175.7062011719 1169.9205505371 99.6309780121 2 8.793843358 0 8760 0.0351179633  
244 5 0.0185979843 0.0045688567 0.0616457214 11.4064827641 118.8705721038 244.4150444031 268.2978591919 273.0869827271 250.7393547058 5140.4771728516 1166.0423278809 123.9250671387 2 9.643420359 0 730 0.0698925519  
244 6 0.0077423963 0.0030835766 0.0722283366 12.8555884872 106.2676011916 243.1940620422 266.9460098267 272.4493835449 249.1019210815 5102.6710693359 1160.0691101074 140.1852283478 2 9.017447721 0 1460 0.1289206998  
244 7 0.0139030496 0.0059532037 0.0566176169 11.79099697 130.6682768411 241.5015869141 263.7107833862 272.0434432983 244.5722999573 5066.8661376953 1145.956640625 157.0002655029 2 6.830885859 0 2190 0.3009987197  
244 8 0.0508417206 0.0223164255 0.0576561567 11.8792620742 134.8037322031 240.594392395 260.8203552246 271.7240966797 242.1177886963 5046.2749511719 1133.5080078125 172.4616989136 2 7.435037167 0 2920 0.5863019505  
244 9 0.1829707992 0.1025561693 0.0599770234 12.638124046 125.6796396373 241.889515686 261.8818481445 271.557333374 243.1422035217 5072.8140380859 1138.3565124512 174.6634101868 2 7.549131021 0 3650 0.7578659649  
244 10 0.3978121859 0.2807881135 0.0552814707 12.4894547157 119.7364590246 243.1100242615 264.186088562 271.5088592529 247.8951316834 5104.9475341797 1148.0956054688 160.6032455444 2 6.995309115 0 4380 0.736286932  
244 11 0.6085142266 0.4658855314 0.0619615296 11.3737462415 169.3703117222 245.4350212097 267.1533752441 271.7917327881 253.615499115 5163.4187988281 1160.9010986328 126.2305835724 2 6.425200467 0 5110 0.50394804  
244 12 0.7225813969 0.3079171298 0.0635010082 10.8178123888 164.641301159 247.6393814087 269.366545105 273.1739028931 257.8759597778 5216.4934326172 1170.6078979492 91.1910682678 2 4.551989417 0 5840 0.1771719348  
245 1 0.5794239606 0.1646302618 0.0403542438 10.4815159961 271.0077117698 249.4141601563 270.6417938232 274.582913208 260.6105575562 5257.3450195313 1176.4976135254 61.8936958313 2 5.918859678 0 6570 0.0572657886  
