#m: month      
#r cell number     
#c1 compartmet1 lower_gas     
#c2 compartmet2 lower_fine_particle     
#c3 compartmet3 lower_coarse_particle     
#e total emission in this cell (mol/h) 
#rgp: ratio of gas to particle  
#rfcp ratio of fine to coarse particle 
#m r c1 c2 c3 e(mol/h) rgp rfcp
1 745 2 9 10 0.2927820535 1 0
1 746 2 9 10 0.1995437296 1 0
1 747 2 9 10 0.1938802414 1 0
1 748 2 9 10 0.2757911572 1 0
1 749 2 9 10 0.0005122366 1 0
1 750 2 9 10 0.2525858147 1 0
1 751 2 9 10 0.2660408814 1 0
1 752 2 9 10 0.0408776398 1 0
1 753 2 9 10 0.088223491 1 0
1 754 2 9 10 0.3571587756 1 0
1 755 2 9 10 0.3368916411 1 0
1 756 2 9 10 0.0274222656 1 0
1 757 2 9 10 0.0268055306 1 0
1 758 2 9 10 0.0294657511 1 0
1 759 2 9 10 0.0467352661 1 0
1 760 2 9 10 0.07861407 1 0
1 761 2 9 10 0.3219860551 1 0
1 762 2 9 10 0.1302546734 1 0
1 763 2 9 10 0.025405883 1 0
1 764 2 9 10 0.0074397217 1 0
1 765 2 9 10 0.0015811831 1 0
1 766 2 9 10 0.0016650703 1 0
1 767 2 9 10 0.0118977058 1 0
1 768 2 9 10 0.0322790886 1 0
1 770 2 9 10 0.0057335111 1 0
1 771 2 9 10 0.0075344683 1 0
1 772 2 9 10 0.0054028717 1 0
1 773 2 9 10 0.0423059816 1 0
1 774 2 9 10 0.0348188731 1 0
1 775 2 9 10 0.2583228324 1 0
1 776 2 9 10 0.7128179403 1 0
1 777 2 9 10 3.2152772383 1 0
1 778 2 9 10 1.0726344548 1 0
1 779 2 9 10 0.0896818326 1 0
1 780 2 9 10 0.2664176452 1 0
1 781 2 9 10 0.2559789554 1 0
1 782 2 9 10 0.3099806447 1 0
1 783 2 9 10 1.1769123811 1 0
1 784 2 9 10 2.8567727079 1 0
1 785 2 9 10 5.4709470267 1 0
1 786 2 9 10 3.3160518647 1 0
1 787 2 9 10 1.6037911393 1 0
1 788 2 9 10 0.3341676016 1 0
1 789 2 9 10 0.2012466657 1 0
1 790 2 9 10 0.2256505423 1 0
1 791 2 9 10 0.1960945923 1 0
1 792 2 9 10 0.1125788695 1 0
1 795 2 9 10 0.0060863334 1 0
1 796 2 9 10 0.0182589949 1 0
1 797 2 9 10 0.0454233682 1 0
1 798 2 9 10 0.0328480916 1 0
1 799 2 9 10 0.0210313059 1 0
1 800 2 9 10 0.009972984 1 0
1 801 2 9 10 0.0012239566 1 0
1 802 2 9 10 0.0004079855 1 0
1 803 2 9 10 0.0007741877 1 0
1 804 2 9 10 0.0023225621 1 0
1 814 2 9 10 1.0945260329 1 0
1 815 2 9 10 4.1235560048 1 0
1 816 2 9 10 9.0870926133 1 0
1 817 2 9 10 6.1130802013 1 0
1 818 2 9 10 9.0660426041 1 0
1 819 2 9 10 16.9332057237 1 0
1 820 2 9 10 29.7145641654 1 0
1 821 2 9 10 21.6988102067 1 0
1 822 2 9 10 18.235695274 1 0
1 823 2 9 10 15.2237745035 1 0
1 824 2 9 10 12.6630371059 1 0
1 825 2 9 10 8.8374433881 1 0
1 826 2 9 10 14.2063879612 1 0
1 827 2 9 10 13.4578071234 1 0
1 828 2 9 10 6.5917062694 1 0
1 829 2 9 10 5.8242332911 1 0
1 830 2 9 10 6.0308654036 1 0
1 831 2 9 10 6.6453886481 1 0
1 832 2 9 10 7.6678138139 1 0
1 833 2 9 10 8.6143629214 1 0
1 834 2 9 10 5.8154723442 1 0
1 835 2 9 10 6.5176913728 1 0
1 836 2 9 10 10.7210146128 1 0
1 837 2 9 10 8.6144438415 1 0
1 838 2 9 10 4.1933506497 1 0
1 839 2 9 10 2.0193637444 1 0
1 840 2 9 10 2.0924804281 1 0
1 841 2 9 10 2.3126925478 1 0
1 842 2 9 10 1.3216163591 1 0
1 843 2 9 10 1.0045887626 1 0
1 844 2 9 10 1.3616097582 1 0
1 845 2 9 10 0.1991755972 1 0
1 846 2 9 10 0.2635484351 1 0
1 847 2 9 10 0.2104696123 1 0
1 848 2 9 10 0.0399390262 1 0
1 849 2 9 10 0.347992473 1 0
1 850 2 9 10 0.2325422894 1 0
1 851 2 9 10 0.1201159273 1 0
1 852 2 9 10 0.0107134944 1 0
1 853 2 9 10 0.009982689 1 0
1 854 2 9 10 0.0087204545 1 0
1 855 2 9 10 0.0106837159 1 0
1 856 2 9 10 0.0158724676 1 0
1 857 2 9 10 0.2368629899 1 0
1 858 2 9 10 0.0876453979 1 0
1 859 2 9 10 0.0149949811 1 0
1 860 2 9 10 0.0189116908 1 0
1 861 2 9 10 0.0014995024 1 0
1 862 2 9 10 0.0004998342 1 0
1 865 2 9 10 0.0039173031 1 0
1 866 2 9 10 0.0083454493 1 0
1 867 2 9 10 0.019046795 1 0
1 868 2 9 10 0.0360213724 1 0
1 869 2 9 10 0.0029841139 1 0
1 870 2 9 10 0.0009947052 1 0
1 871 2 9 10 0.0236724724 1 0
1 872 2 9 10 0.0710174012 1 0
1 875 2 9 10 0.0072863242 1 0
1 876 2 9 10 0.0218589672 1 0
1 877 2 9 10 0.1341334963 1 0
1 878 2 9 10 0.3295350891 1 0
1 879 2 9 10 1.7299282755 1 0
1 880 2 9 10 4.3353114371 1 0
1 881 2 9 10 7.6274724585 1 0
1 882 2 9 10 15.4406187297 1 0
