#m: month      
#r cell number     
#c1 compartmet1 lower_gas     
#c2 compartmet2 lower_fine_particle     
#c3 compartmet3 lower_coarse_particle     
#e total emission in this cell (mol/h) 
#rgp: ratio of gas to particle  
#rfcp ratio of fine to coarse particle 
#m r c1 c2 c3 e(mol/h) rgp rfcp
4 216 2 9 10 8.3201298611 1 0
4 224 2 9 10 46.0996925638 1 0
4 225 2 9 10 8.0119805011 1 0
4 238 2 9 10 0.1029230951 1 0
4 240 2 9 10 3.1554874394 1 0
5 25 2 9 10 0.3155487439 1 0
5 26 2 9 10 2.2926584379 1 0
5 27 2 9 10 17.1949382844 1 0
5 28 2 9 10 1.4729711024 1 0
5 29 2 9 10 2.6994210978 1 0
5 30 2 9 10 0.3556085925 1 0
5 31 2 9 10 0.1516112768 1 0
5 32 2 9 10 0.1688678353 1 0
5 33 2 9 10 0.2354289389 1 0
5 34 2 9 10 0.0050044046 1 0
5 35 2 9 10 3.9813367907 1 0
5 36 2 9 10 1.1401661238 1 0
5 37 2 9 10 71.4914718228 1 0
5 38 2 9 10 170.1004003359 1 0
5 39 2 9 10 36.0538960649 1 0
